"Story","Title","Result","Date","Stability","Duration (s)"
"Registro en Haceb","Registrarse como usuario nuevo en Haceb","FAILURE","2023-11-28T23:57:17.8375403-05:00[America/Bogota]","0.0","0.83"
"Registro en Haceb","Registrarse como usuario nuevo en Haceb","ERROR","2023-12-01T11:52:46.1085951-05:00[America/Bogota]","0.0","86.14"
